file_path,file_name,size_gb,size_bytes,modified_time,drive
P:\20251009_low_glucose_control_AMES\2025.10.09-10.17.04-Rec-.cmtr,2025.10.09-10.17.04-Rec-.cmtr,66.48,71381676308,2025-11-05 11:43:35,P:
O:\20250410\image001-1200\2025.04.10-10.51.31-Rec-.cmtr,2025.04.10-10.51.31-Rec-.cmtr,65.81,70660726900,2025-06-26 11:34:36,O:
P:\20251118_gaba\gaba\2025.11.18-14.06.04-Rec-.cmtr,2025.11.18-14.06.04-Rec-.cmtr,65.7,70549629712,2025-12-02 17:01:14,P:
P:\20251111_gaba\gaba\2025.11.11-11.03.52-Rec-.cmtr,2025.11.11-11.03.52-Rec-.cmtr,65.65,70487793276,2025-12-12 04:35:24,P:
O:\20250516_Jason\2025.05.16-10.33.25-Rec-.cmtr,2025.05.16-10.33.25-Rec-.cmtr,65.08,69876801928,2025-05-20 07:14:02,O:
P:\20251007_low_glucose_control\2025.10.07-12.14.40-Rec-.cmtr,2025.10.07-12.14.40-Rec-.cmtr,65.04,69831677308,2025-10-12 12:05:10,P:
R:\20250319\set6\2025.03.19-17.46.14-Rec-.cmtr,2025.03.19-17.46.14-Rec-.cmtr,64.57,69326459772,2025-03-31 23:21:58,R:
O:\20250429\2025.04.29-11.16.44-Rec-.cmtr,2025.04.29-11.16.44-Rec-.cmtr,64.35,69090916136,2025-07-31 11:50:52,O:
R:\20250204\natrral scene\2025.02.04-13.22.13-Rec-.cmtr,2025.02.04-13.22.13-Rec-.cmtr,64.3,69038277728,2025-02-14 10:41:49,R:
O:\20250326\image001-1200\2025.03.26-15.52.26-Rec-.cmtr,2025.03.26-15.52.26-Rec-.cmtr,64.25,68985606792,2025-07-06 04:11:22,O:
R:\20240918\2024.09.18-12.49.24-Rec-.cmtr,2024.09.18-12.49.24-Rec-.cmtr,63.85,68556251580,2024-10-03 02:23:34,R:
O:\20250917_gaba_gly\gaba_gly\2025.09.17-11.59.06-Rec-.cmtr,2025.09.17-11.59.06-Rec-.cmtr,63.62,68309179744,2025-09-23 23:40:22,O:
O:\20250409\image001-1200\2025.04.09-11.48.43-Rec-.cmtr,2025.04.09-11.48.43-Rec-.cmtr,63.35,68023320280,2025-07-16 08:48:24,O:
P:\20251007_low_glucose_control\2025.10.07-11.54.39-Rec-.cmtr,2025.10.07-11.54.39-Rec-.cmtr,63.21,67867060292,2025-10-10 09:54:00,P:
O:\20250520_image\2025.05.20-12.13.12-Rec-.cmtr,2025.05.20-12.13.12-Rec-.cmtr,62.87,67501790188,2025-08-22 09:45:06,O:
R:\20250228\set6\2025.02.28-13.15.09-Rec-.cmtr,2025.02.28-13.15.09-Rec-.cmtr,62.66,67282474596,2025-05-31 15:20:24,R:
O:\20250326\image001-1200\2025.03.26-14.07.40-Rec-.cmtr,2025.03.26-14.07.40-Rec-.cmtr,62.4,67006060816,2025-07-01 10:56:30,O:
O:\20250414\2025.04.14-14.59.44-Rec-.cmtr,2025.04.14-14.59.44-Rec-.cmtr,62.04,66619841224,2025-07-31 17:14:28,O:
P:\20251007_low_glucose_control\2025.10.07-09.49.16-Rec-.cmtr,2025.10.07-09.49.16-Rec-.cmtr,62.02,66598616852,2025-10-10 02:00:08,P:
O:\20250326\set6\2025.03.26-12.26.37-Rec-.cmtr,2025.03.26-12.26.37-Rec-.cmtr,61.81,66372462120,2025-06-26 06:03:08,O:
O:\20250529_images\2025.05.29-12.04.03-Rec-.cmtr,2025.05.29-12.04.03-Rec-.cmtr,61.31,65834735440,2025-08-24 11:32:04,O:
O:\20250423\2025.04.23-13.39.50-Rec-.cmtr,2025.04.23-13.39.50-Rec-.cmtr,60.7,65174069396,2025-07-05 11:44:54,O:
O:\20250326\set6\2025.03.26-14.28.43-Rec-.cmtr,2025.03.26-14.28.43-Rec-.cmtr,60.34,64785236220,2025-07-03 02:50:08,O:
O:\20250529_images\2025.05.29-12.43.35-Rec-.cmtr,2025.05.29-12.43.35-Rec-.cmtr,60.01,64438120964,2025-08-20 10:57:54,O:
O:\20250325\image001-1200\2025.03.25-13.17.14-Rec-.cmtr,2025.03.25-13.17.14-Rec-.cmtr,59.98,64402525892,2025-07-21 03:10:00,O:
R:\20250305\set6\2025.03.05-11.08.30-Rec-.cmtr,2025.03.05-11.08.30-Rec-.cmtr,59.74,64143489700,2025-06-04 16:55:06,R:
Q:\20240314\2024.03.14-12.24.26-Rec-.cmtr,2024.03.14-12.24.26-Rec-.cmtr,59.23,63594572464,2024-03-18 08:06:58,Q:
O:\20250414\2025.04.14-11.27.16-Rec-.cmtr,2025.04.14-11.27.16-Rec-.cmtr,59.04,63392546516,2025-07-22 03:55:52,O:
P:\20251111_gaba\gaba\2025.11.11-11.55.18-Rec-.cmtr,2025.11.11-11.55.18-Rec-.cmtr,58.65,62972658916,2025-11-15 09:58:24,P:
O:\20250414\2025.04.14-11.48.33-Rec-.cmtr,2025.04.14-11.48.33-Rec-.cmtr,57.99,62266304216,2025-07-23 21:51:41,O:
O:\20250905_gaba_gly\gaba_gly\2025.09.05-12.52.37-Rec-.cmtr,2025.09.05-12.52.37-Rec-.cmtr,57.97,62248978932,2025-09-08 05:27:02,O:
O:\20250916_gaba_gly\gaba_gly\2025.09.16-12.22.41-Rec-.cmtr,2025.09.16-12.22.41-Rec-.cmtr,57.57,61820281496,2025-09-19 21:47:02,O:
R:\20240904\2024.09.04-11.53.48-Rec-.cmtr,2024.09.04-11.53.48-Rec-.cmtr,57.26,61479319764,2024-09-09 03:45:26,R:
R:\20250319\set6\2025.03.19-17.14.28-Rec-.cmtr,2025.03.19-17.14.28-Rec-.cmtr,57.21,61433543708,2025-03-28 07:23:52,R:
P:\20251118_gaba\gaba\2025.11.18-10.28.54-Rec-.cmtr,2025.11.18-10.28.54-Rec-.cmtr,57.13,61348126600,2025-11-29 09:43:39,P:
O:\20250326\image001-1200\2025.03.26-13.21.37-Rec-.cmtr,2025.03.26-13.21.37-Rec-.cmtr,56.92,61112349256,2025-06-28 13:40:11,O:
O:\20250912_gaba_gly\gaba_gly\2025.09.12-11.08.26-Rec-.cmtr,2025.09.12-11.08.26-Rec-.cmtr,56.86,61055502792,2025-09-17 10:11:00,O:
P:\20251010_low_glucose\2025.10.10-12.17.00-Rec-.cmtr,2025.10.10-12.17.00-Rec-.cmtr,56.64,60821660352,2025-10-17 05:31:02,P:
L:\20230911_wt\2023.09.11-13.06.58-Rec-.cmtr,2023.09.11-13.06.58-Rec-.cmtr,55.99,60116655536,2023-10-02 22:14:06,L:
P:\20251106_gaba\gaba\2025.11.06-14.22.02-Rec-.cmtr,2025.11.06-14.22.02-Rec-.cmtr,55.9,60024049024,2025-11-12 04:09:08,P:
O:\20250429\2025.04.29-15.32.12-Rec-.cmtr,2025.04.29-15.32.12-Rec-.cmtr,55.69,59800100712,2025-08-17 16:50:42,O:
R:\20250304\natural scene\2025.03.04-11.32.37-Rec-.cmtr,2025.03.04-11.32.37-Rec-.cmtr,55.68,59788661988,2025-06-16 13:21:32,R:
R:\20250304\set6\2025.03.04-13.06.35-Rec-.cmtr,2025.03.04-13.06.35-Rec-.cmtr,55.67,59776983556,2025-06-18 10:44:25,R:
Q:\20240419\2024.04.19-13.14.19-Rec-.cmtr,2024.04.19-13.14.19-Rec-.cmtr,55.45,59534071160,2024-04-29 01:36:51,Q:
Q:\20240301\2024.03.01-10.28.08-Rec-.cmtr,2024.03.01-10.28.08-Rec-.cmtr,55.29,59370002484,2024-03-06 17:47:39,Q:
O:\20250422\2025.04.22-12.46.25-Rec-.cmtr,2025.04.22-12.46.25-Rec-.cmtr,55.27,59345961796,2025-08-14 09:54:30,O:
O:\20250415\2025.04.15-13.01.44-Rec-.cmtr,2025.04.15-13.01.44-Rec-.cmtr,55.16,59229125468,2025-07-14 02:46:41,O:
O:\20250415\2025.04.15-14.47.59-Rec-.cmtr,2025.04.15-14.47.59-Rec-.cmtr,54.63,58654119492,2025-07-16 22:01:53,O:
O:\20250414\2025.04.14-16.07.23-Rec-.cmtr,2025.04.14-16.07.23-Rec-.cmtr,54.57,58597403460,2025-08-04 20:02:57,O:
P:\20251120_gaba\before_gaba\2025.11.20-09.47.20-Rec-.cmtr,2025.11.20-09.47.20-Rec-.cmtr,54.44,58450236840,2025-12-15 12:51:23,P:
P:\20251119_gaba\gaba\2025.11.19-13.06.02-Rec-.cmtr,2025.11.19-13.06.02-Rec-.cmtr,54.35,58353979456,2025-12-08 15:51:41,P:
P:\20251204_gly\gly\2025.12.04-15.25.12-Rec-.cmtr,2025.12.04-15.25.12-Rec-.cmtr,54.21,58212421132,2025-12-13 15:34:53,P:
O:\20250423\2025.04.23-15.06.19-Rec-.cmtr,2025.04.23-15.06.19-Rec-.cmtr,53.99,57972204680,2025-08-12 04:29:47,O:
O:\20250423\2025.04.23-12.36.43-Rec-.cmtr,2025.04.23-12.36.43-Rec-.cmtr,53.85,57818562264,2025-07-25 01:02:52,O:
R:\20250304\set6\2025.03.04-14.37.34-Rec-.cmtr,2025.03.04-14.37.34-Rec-.cmtr,53.76,57723680724,2025-08-10 21:39:33,R:
O:\20250904_gaba_gly\Other\2025.09.04-13.40.48-Rec-.cmtr,2025.09.04-13.40.48-Rec-.cmtr,53.51,57456433964,2025-09-06 14:57:01,O:
L:\20230911_wt\2023.09.11-13.17.33-Rec-.cmtr,2023.09.11-13.17.33-Rec-.cmtr,53.3,57228442916,2023-10-06 06:55:36,L:
P:\20251106_gaba\before_gaba\2025.11.06-10.43.57-Rec-.cmtr,2025.11.06-10.43.57-Rec-.cmtr,53.23,57154224324,2025-11-14 15:04:44,P:
O:\20250429\2025.04.29-11.37.40-Rec-.cmtr,2025.04.29-11.37.40-Rec-.cmtr,53.11,57031273392,2025-08-02 17:39:58,O:
L:\20230911_wt\2023.09.11-13.28.37-Rec-.cmtr,2023.09.11-13.28.37-Rec-.cmtr,52.87,56765598736,2023-10-09 07:19:01,L:
O:\20250410\set6\2025.04.10-12.58.18-Rec-.cmtr,2025.04.10-12.58.18-Rec-.cmtr,52.72,56611484800,2025-08-07 21:09:56,O:
P:\20251120_gaba\gaba\2025.11.20-12.05.55-Rec-.cmtr,2025.11.20-12.05.55-Rec-.cmtr,52.67,56553842496,2025-12-02 13:16:22,P:
O:\20250410\set6\2025.04.10-11.12.57-Rec-.cmtr,2025.04.10-11.12.57-Rec-.cmtr,52.63,56510873144,2025-08-17 17:55:54,O:
Q:\20240325\2024.03.25-14.59.16-Rec-.cmtr,2024.03.25-14.59.16-Rec-.cmtr,52.45,56317347592,2024-03-31 12:28:16,Q:
R:\20250228\set6\2025.02.28-11.14.39-Rec-.cmtr,2025.02.28-11.14.39-Rec-.cmtr,52.4,56266190924,2025-08-06 18:44:20,R:
P:\20251119_gaba\before_gaba\2025.11.19-11.47.27-Rec-.cmtr,2025.11.19-11.47.27-Rec-.cmtr,52.34,56194327900,2025-12-13 19:55:36,P:
P:\20251009_low_glucose_control_AMES\2025.10.09-12.28.02-Rec-.cmtr,2025.10.09-12.28.02-Rec-.cmtr,51.52,55314862836,2025-10-23 19:40:14,P:
O:\20250905_gaba_gly\gaba_gly\2025.09.05-16.40.41-Rec-.cmtr,2025.09.05-16.40.41-Rec-.cmtr,51.36,55149892364,2025-09-10 02:06:34,O:
O:\20250429\2025.04.29-12.37.37-Rec-.cmtr,2025.04.29-12.37.37-Rec-.cmtr,51.1,54872671964,2025-08-05 17:28:16,O:
O:\20250325\image001-1200\2025.03.25-12.27.50-Rec-.cmtr,2025.03.25-12.27.50-Rec-.cmtr,50.95,54706614508,2025-07-21 07:13:12,O:
Q:\20240307\2024.03.07-13.44.26-Rec-.cmtr,2024.03.07-13.44.26-Rec-.cmtr,50.82,54572316532,2024-03-24 03:46:01,Q:
O:\20250916_gaba_gly\gaba_gly\2025.09.16-13.30.22-Rec-.cmtr,2025.09.16-13.30.22-Rec-.cmtr,50.68,54419906752,2025-09-26 14:51:46,O:
P:\20251022_low_glucose\2025.10.22-13.09.29-Rec-.cmtr,2025.10.22-13.09.29-Rec-.cmtr,50.63,54358659776,2025-10-25 10:35:00,P:
O:\20250513_Jason\2025.05.13-12.15.03-Rec-.cmtr,2025.05.13-12.15.03-Rec-.cmtr,50.58,54312037728,2025-05-14 20:30:44,O:
Q:\20240301\2024.03.01-13.13.16-Rec-.cmtr,2024.03.01-13.13.16-Rec-.cmtr,50.58,54305716288,2024-04-02 17:22:43,Q:
O:\20250414\2025.04.14-15.20.49-Rec-.cmtr,2025.04.14-15.20.49-Rec-.cmtr,50.35,54061866500,2025-08-02 01:19:18,O:
O:\20251001_HttrB_agonist\set6_a\2025.10.01-12.37.35-Rec-.cmtr,2025.10.01-12.37.35-Rec-.cmtr,50.29,54002148456,2025-10-06 12:10:53,O:
L:\20230911_wt\2023.09.11-13.51.29-Rec-.cmtr,2023.09.11-13.51.29-Rec-.cmtr,50.19,53889568484,2023-10-31 17:06:09,L:
O:\20250326\set6\2025.03.26-14.58.20-Rec-.cmtr,2025.03.26-14.58.20-Rec-.cmtr,50.13,53829417832,2025-07-04 11:50:02,O:
P:\20251209_gly\2025.12.09-14.26.18-Rec-.cmtr,2025.12.09-14.26.18-Rec-.cmtr,50.13,53824111788,2025-12-16 21:48:42,P:
P:\20251010_low_glucose\2025.10.10-12.37.01-Rec-.cmtr,2025.10.10-12.37.01-Rec-.cmtr,49.89,53567579860,2025-10-17 21:13:15,P:
P:\20251022_low_glucose\2025.10.22-11.24.15-Rec-.cmtr,2025.10.22-11.24.15-Rec-.cmtr,49.78,53448014976,2025-11-01 02:56:54,P:
O:\20250415\2025.04.15-12.13.55-Rec-.cmtr,2025.04.15-12.13.55-Rec-.cmtr,49.59,53247579620,2025-08-14 04:43:22,O:
R:\20240910\2024.09.10-12.57.23-Rec-.cmtr,2024.09.10-12.57.23-Rec-.cmtr,49.19,52813259568,2024-09-18 09:00:52,R:
P:\20251007_low_glucose_control\2025.10.07-12.34.41-Rec-.cmtr,2025.10.07-12.34.41-Rec-.cmtr,49.02,52629805900,2025-10-14 06:44:59,P:
O:\20250414\2025.04.14-15.46.12-Rec-.cmtr,2025.04.14-15.46.12-Rec-.cmtr,48.8,52396380888,2025-08-03 08:54:12,O:
R:\20250305\set6\2025.03.05-12.46.21-Rec-.cmtr,2025.03.05-12.46.21-Rec-.cmtr,48.79,52384446888,2025-06-07 15:00:23,R:
M:\20231010_NMDA\2023.10.10-10.24.48-Rec-.cmtr,2023.10.10-10.24.48-Rec-.cmtr,48.69,52277647996,2023-10-26 15:46:47,M:
Q:\20240417\2024.04.17-12.14.24-Rec-.cmtr,2024.04.17-12.14.24-Rec-.cmtr,48.6,52189002356,2024-04-24 01:34:13,Q:
P:\20251209_gly\2025.12.09-13.00.23-Rec-.cmtr,2025.12.09-13.00.23-Rec-.cmtr,48.44,52009630832,2025-12-19 11:27:20,P:
O:\20250529_images\2025.05.29-10.08.41-Rec-.cmtr,2025.05.29-10.08.41-Rec-.cmtr,48.33,51896517052,2025-05-31 20:51:45,O:
Q:\20240618\2024.06.18-12.21.46-Rec-.cmtr,2024.06.18-12.21.46-Rec-.cmtr,48.32,51883663624,2024-08-24 13:07:30,Q:
O:\20250415\2025.04.15-15.10.34-Rec-.cmtr,2025.04.15-15.10.34-Rec-.cmtr,48.27,51828286808,2025-07-18 09:27:49,O:
Q:\20240328\2024.03.28-09.44.38-Rec-.cmtr,2024.03.28-09.44.38-Rec-.cmtr,48.27,51825957012,2024-04-05 20:42:29,Q:
R:\20250319\set6\2025.03.19-16.26.24-Rec-.cmtr,2025.03.19-16.26.24-Rec-.cmtr,48.2,51755427428,2025-03-25 15:36:48,R:
O:\20250912_gaba_gly\gaba_gly\2025.09.12-14.29.35-Rec-.cmtr,2025.09.12-14.29.35-Rec-.cmtr,48.09,51640211416,2025-09-14 22:42:51,O:
R:\20250304\set6\2025.03.04-10.21.32-Rec-.cmtr,2025.03.04-10.21.32-Rec-.cmtr,48.01,51553084824,2025-06-07 20:07:36,R:
R:\20240814_ipRGC\2024.08.14-12.10.18-Rec-.cmtr,2024.08.14-12.10.18-Rec-.cmtr,47.88,51415495800,2024-08-17 22:04:48,R:
P:\20251022_low_glucose\2025.10.22-13.49.31-Rec-.cmtr,2025.10.22-13.49.31-Rec-.cmtr,47.73,51244690980,2025-10-28 07:29:45,P:
P:\20251119_gaba\gaba\2025.11.19-14.02.51-Rec-.cmtr,2025.11.19-14.02.51-Rec-.cmtr,47.54,51047855452,2025-12-10 01:23:12,P:
R:\20240917\2024.09.17-11.22.40-Rec-.cmtr,2024.09.17-11.22.40-Rec-.cmtr,47.53,51036674532,2024-09-27 01:41:23,R:
P:\20251022_low_glucose\2025.10.22-13.29.30-Rec-.cmtr,2025.10.22-13.29.30-Rec-.cmtr,47.52,51026636772,2025-10-26 22:04:33,P:
R:\20240814_ipRGC\2024.08.14-12.46.48-Rec-.cmtr,2024.08.14-12.46.48-Rec-.cmtr,47.48,50980996700,2024-08-20 23:46:55,R:
R:\20250129_Rd\white_noise\2025.01.29-11.54.19-Rec-.cmtr,2025.01.29-11.54.19-Rec-.cmtr,47.45,50950441212,2025-02-02 11:43:44,R:
Q:\20240611\2024.06.11-11.01.08-Rec-.cmtr,2024.06.11-11.01.08-Rec-.cmtr,47.23,50710933676,2024-06-12 23:36:25,Q:
P:\20251106_gaba\gaba\2025.11.06-13.28.24-Rec-.cmtr,2025.11.06-13.28.24-Rec-.cmtr,47.23,50707790400,2025-11-12 21:36:58,P:
O:\20250414\2025.04.14-13.38.09-Rec-.cmtr,2025.04.14-13.38.09-Rec-.cmtr,47.21,50694473396,2025-07-28 00:13:15,O:
P:\20251007_low_glucose_control\2025.10.07-10.09.17-Rec-.cmtr,2025.10.07-10.09.17-Rec-.cmtr,47.16,50632489760,2025-10-12 00:49:24,P:
R:\20241001_Rd\2024.10.01-11.51.12-Rec-.cmtr,2024.10.01-11.51.12-Rec-.cmtr,47.12,50591490400,2024-10-06 17:46:52,R:
R:\20250225\set6\2025.02.25-13.33.21-Rec-.cmtr,2025.02.25-13.33.21-Rec-.cmtr,46.8,50251535692,2025-05-21 12:27:40,R:
P:\20251112_gaba\gaba\2025.11.12-12.27.39-Rec-.cmtr,2025.11.12-12.27.39-Rec-.cmtr,46.44,49869750720,2025-11-22 23:33:16,P:
O:\20250911_gaba_gly\gaba_gly\2025.09.11-11.02.26-Rec-.cmtr,2025.09.11-11.02.26-Rec-.cmtr,46.3,49712102484,2025-09-18 12:06:52,O:
O:\20250919_gaba_gly\gaba_gly\2025.09.19-13.53.20-Rec-.cmtr,2025.09.19-13.53.20-Rec-.cmtr,46.27,49686379644,2025-09-29 10:10:27,O:
O:\20250423\2025.04.23-10.15.00-Rec-.cmtr,2025.04.23-10.15.00-Rec-.cmtr,46.25,49661796252,2025-07-21 07:39:31,O:
P:\20251120_gaba\gaba\2025.11.20-13.55.08-Rec-.cmtr,2025.11.20-13.55.08-Rec-.cmtr,46.23,49637806800,2025-12-16 19:20:39,P:
R:\20240917\2024.09.17-10.44.42-Rec-.cmtr,2024.09.17-10.44.42-Rec-.cmtr,46.14,49542448096,2024-09-22 13:24:12,R:
P:\20251010_low_glucose\2025.10.10-14.42.53-Rec-.cmtr,2025.10.10-14.42.53-Rec-.cmtr,46.04,49430814044,2025-10-19 19:17:03,P:
P:\20251022_low_glucose\2025.10.22-14.09.32-Rec-.cmtr,2025.10.22-14.09.32-Rec-.cmtr,45.96,49354385716,2025-10-29 20:37:10,P:
R:\20250319\set6\2025.03.19-17.35.32-Rec-.cmtr,2025.03.19-17.35.32-Rec-.cmtr,45.94,49330999044,2025-03-29 18:57:24,R:
Q:\20240305\2024.03.05-14.13.33-Rec-.cmtr,2024.03.05-14.13.33-Rec-.cmtr,45.93,49313014504,2024-03-13 05:55:51,Q:
R:\20250217_wt_greenlight\2025.02.17-11.56.04-Rec-.cmtr,2025.02.17-11.56.04-Rec-.cmtr,45.52,48875085184,2025-04-28 21:33:34,R:
O:\20250423\2025.04.23-14.09.55-Rec-.cmtr,2025.04.23-14.09.55-Rec-.cmtr,45.51,48869302420,2025-08-15 21:55:47,O:
O:\20250904_gaba_gly\gaba_gly\2025.09.04-14.19.49-Rec-.cmtr,2025.09.04-14.19.49-Rec-.cmtr,45.4,48745917652,2025-09-07 01:13:53,O:
P:\20251106_gaba\before_gaba\2025.11.06-11.16.04-Rec-.cmtr,2025.11.06-11.16.04-Rec-.cmtr,45.35,48695972460,2025-11-12 22:31:53,P:
P:\20251010_low_glucose\2025.10.10-10.12.27-Rec-.cmtr,2025.10.10-10.12.27-Rec-.cmtr,45.17,48501503864,2025-10-11 14:41:36,P:
O:\20250917_gaba_gly\gaba_gly\2025.09.17-10.03.15-Rec-.cmtr,2025.09.17-10.03.15-Rec-.cmtr,44.87,48183610976,2025-09-22 01:18:47,O:
R:\20240913\2024.09.13-11.45.30-Rec-.cmtr,2024.09.13-11.45.30-Rec-.cmtr,44.67,47958702168,2024-09-20 00:09:16,R:
O:\20250325\2025.03.25-11.37.25-Rec-.cmtr,2025.03.25-11.37.25-Rec-.cmtr,44.65,47941634300,2025-06-19 06:25:02,O:
L:\20230911_wt\2023.09.11-14.02.17-Rec-.cmtr,2023.09.11-14.02.17-Rec-.cmtr,44.55,47829893732,2023-11-03 15:39:06,L:
R:\20250225\set6\2025.02.25-14.05.13-Rec-.cmtr,2025.02.25-14.05.13-Rec-.cmtr,44.53,47810653080,2025-07-29 23:52:52,R:
R:\20250311_Fu\2025.03.11-14.30.05-Rec-.cmtr,2025.03.11-14.30.05-Rec-.cmtr,44.51,47792824880,2025-03-23 03:16:18,R:
R:\20250305\set6\2025.03.05-14.17.22-Rec-.cmtr,2025.03.05-14.17.22-Rec-.cmtr,44.38,47649507280,2025-06-05 13:42:31,R:
P:\20251124_gaba\gaba\2025.11.24-12.46.37-Rec-.cmtr,2025.11.24-12.46.37-Rec-.cmtr,44.33,47596368604,2025-12-04 22:41:19,P:
R:\20250212\natral scene\2025.02.12-15.32.45-Rec-.cmtr,2025.02.12-15.32.45-Rec-.cmtr,44.26,47527996940,2025-04-28 02:59:31,R:
